DOCID,TOPICID,DOC TITLE,TOPIC NAME,,,,ID,TOPIC
122,5,"Act 173 Advisory Group Meeting: December 5, 2022.  Memo from Secretary French: Review of Flexibility in Technical Guidance",Research,,,,1,Funding
69,12,"Act 173 Advisory Group December Meeting.  December 6, 2021",Funding,,,,2,Census Based
281,6,"State Board of Education Articles of Agreement: Franklin Northwest UUSD November 30, 2018 ",Advisory,,,,3,Legistlative
127,4,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",K-12,,,,4,K-12
325,13,"State Board of Education Southwest Vermont Union Elementary School District November 30, 2018 (Act 46)",Regulation,,,,5,Research
192,5,"Census-Based Funding Advisory Group Draft Minutes from April 1, 2019 (Act 173 Advisory Group)",Research,,,,6,Advisory
211,12,Consensus Based Funding Models:  Baker and Ramsey (2010),Funding,,,,7,Elementary
153,9,"Act 173 Advisory Group. AOE Act 173 Update. October 4, 2021",Census Based,,,,8,High School
249,14,Member of Census-Based Funding Advisory Group:: The Executive Director of the Vermont Principals’ Association or designee;,Funding,,,,9,Census Based
290,4,"State Board of Education Legislative Report: Annual Report to the Governor and the General Assembly June 17, 2021",K-12,,,,10,Census Based
359,1,Vermont Supreme Court ruling could offer ‘road map’ to statewide school choice,Funding,,,,11,Public Input
8,10,A Study of the Use of Paraprofessionals to Deliver Special Education Services in Vermont Schools,Census Based,,,,12,Funding
160,9,"State Board of Education Articles of Agreement: Oxbow UUSD November 30, 2018 (Act 46)",Census Based,,,,13,Regulation
301,13,"State Board of Education Memo Rule 2200 Final Annotated Filing April 4, 2022",Regulation,,,,14,Funding
81,11,"Act 173 Advisory Group Draft Meeting Minutes: June 6, 2022",Public Input,,,,,
328,10,"State Board of Education Transition Timeline FAQs January 15, 2019",Census Based,,,,,
344,14,,Funding,,,,,
19,7,Public Assets Institute:  School finance in Vermont: Balancing equal education and fair tax burdens,Elementary,,,,,
103,13,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting",Regulation,,,,,
357,7,VT Dept of Education (Technical Advice for the Two-Vote Provisions16 V.S.A. § 563(11)(B)),Elementary,,,,,
40,9,"Act 173 Advisory Group Agenda - January 6, 2020",Census Based,,,,,
221,10,,Census Based,,,,,
357,12,VT Dept of Education (Technical Advice for the Two-Vote Provisions16 V.S.A. § 563(11)(B)),Funding,,,,,
42,8,"Act 173 Advisory Group Agenda - July 24, 2019",High School,,,,,
351,14,Vermont Secretary of State: Preserved documents,Funding,,,,,
67,8,"Act 173 Advisory Group December 7, 2020  Clean Copy Draft Rules Series 2200",High School,,,,,
317,3,"State Board of Education News State Board of Education - Rule 2200 Public Comments April 4, 2022",Legistlative,,,,,
227,13,"FY-2023 Act 173 Special Education Plan September 22, 2021",Regulation,,,,,
290,6,"State Board of Education Legislative Report: Annual Report to the Governor and the General Assembly June 17, 2021",Advisory,,,,,
297,3,"State Board of Education Memo  School Districts that Submitted Section 9 Proposals; Regional Meetings July 3, 2018",Legistlative,,,,,
181,11,"CBFAG - Rulemaking Sub-Committee October 12,2018 (Act 173 Advisory Group)",Public Input,,,,,
286,14,"State Board of Education Decision Points: Sec. 9 Proposals and Secretary's Proposed Statewide Plan September 19, 2018",Funding,,,,,
25,14,Act 173 Advisory Group Act 173 Draft Meeting Minutes - 03-03-22,Funding,,,,,
199,7,"Census-Based Funding Advisory Group IDEA Fiscal - Part II PowerPoint February 4, 2019 (Act 173 Advisory Group)",Elementary,,,,,
274,1,"State Board of Education Act 46: Modified Unified Union School Districts and their Non-Member Elementary Districts June 26, 2018",Funding,,,,,
290,2,"State Board of Education Legislative Report: Annual Report to the Governor and the General Assembly June 17, 2021",Census Based,,,,,
42,13,"Act 173 Advisory Group Agenda - July 24, 2019",Regulation,,,,,
306,10,"State Board of Education Memo Statement on Equity and Racism by the Vermont State Board of Education  June 17, 2020",Census Based,,,,,
56,5,"Act 173 Advisory Group Approved Meeting Minutes - July 13, 2020",Research,,,,,
61,1,"Act 173 Advisory Group Approved Minutes October 4, 2021",Funding,,,,,
343,5,,Research,,,,,
291,1,"State Board of Education List of Topics Provided to Superintendents to Prepare for Section 10 Conversations May 31, 2018",Funding,,,,,
4,13,Preliminary Education Fund Outlook (September 2012),Regulation,,,,,
31,7,"Act 173 Advisory Group Act 173 Summary of Technical Guidance September 16, 2019",Elementary,,,,,
139,1,Act 173 Advisory Group Special Meeting Agenda - 03-03-22,Funding,,,,,
178,12,Biennial Report - Vermont State Board of Education,Funding,,,,,
159,2," Act 173 Section B Forms FY 2023 September 3,2020",Census Based,,,,,
358,7,Lawmaker’s education tax overhaul aims to slow spending,Elementary,,,,,
41,8,"Act 173 Advisory Group Agenda - July 13, 2020",High School,,,,,
21,10,The Evidence-Based (EB) model,Census Based,,,,,
349,9,,Census Based,,,,,
170,14,AnLar...Supports VT Special Education Advisory Council (https://anlar.com/portfolio/vermont-special-education-advisory-council/),Funding,,,,,
345,4,Three lawsuits that will change Vermont education,K-12,,,,,
31,3,"Act 173 Advisory Group Act 173 Summary of Technical Guidance September 16, 2019",Legistlative,,,,,
120,13,"Act 173 Advisory Group Meeting Minutes: April 4, 2022",Regulation,,,,,
260,1,"Report to the House and Senate Committees on Education, the House Committee on Ways and Means, and the Senate Committee on Finance",Funding,,,,,
233,9,History of IDEA,Census Based,,,,,
36,3,"Act 173 Advisory Group Agenda - February 1, 2021",Legistlative,,,,,
296,14,"State Board of Education Memo Memorandum - State Board of Education Determining Eligibility for Small Schools Grants June 29, 2018",Funding,,,,,
316,11,"State Board of Education News  SBE Rule 2200 - Final Filing Clean Copy  April 4, 2022",Public Input,,,,,
60,10,"Act 173 Advisory Group Approved Minutes October 4, 2021",Census Based,,,,,
142,3,"Act 173 Advisory Group Summary of the AOE Revisions to 2360 February 3, 2020",Legistlative,,,,,
322,11,"State Board of Education News. State Board of Education-Statement of Preparedness for Ripton School District August 12, 2022",Public Input,,,,,
11,9,Public Assets Institute BLOG:  American Rescue Plan brings $200 million to Vermont towns and villages (10/15/2021),Census Based,,,,,
112,12,"Act 173 Advisory Group Meeting - January 3, 2022",Funding,,,,,
2,6,Preliminary Education Fund Outlook,Advisory,,,,,
224,13,Education:  ATtendence and Discipline,Regulation,,,,,
57,9,"Act 173 Advisory Group Approved Meeting Minutes - May 4th, 2020",Census Based,,,,,
264,1,South Burlington:  School Board,Funding,,,,,
116,9,"Act 173 Advisory Group Meeting Agenda: December 5, 2022",Census Based,,,,,
224,6,Education:  ATtendence and Discipline,Advisory,,,,,
298,6,"State Board of Education Memo State Board of Education Memo to the House and Senate Education Committees on Civics and Ethnic Studies March 21, 2018",Advisory,,,,,
139,6,Act 173 Advisory Group Special Meeting Agenda - 03-03-22,Advisory,,,,,
261,12,Response to Questions Posed by the Task Force on Pupil Weighting,Funding,,,,,
242,9,"Mainstream Block Grant and Match Spent on Support and Remedial Services Sept 6,2018",Census Based,,,,,
189,11,"Census-Based Funding Advisory Group Approved Minutes from March 4, 2019 (Act 173 Advisory Group)",Public Input,,,,,
128,7,"Act 173 Advisory Group Meeting: May 2, 2022Questions and Answers on draft MOE Documentation Technical Guide",Elementary,,,,,
218,11,Pupil Weighting Factors Report,Public Input,,,,,
103,11,"Act 173 Advisory Group Draft October 5, 2020 2200 Stakeholder Draft for Act 173 AG Meeting",Public Input,,,,,
99,1,"Act 173 Advisory Group Draft Minutes from November 4, 2019",Funding,,,,,
253,5,Opinion Piece in VT Digger Allen Gilbert (Feb 5 2017),Research,,,,,
170,1,AnLar...Supports VT Special Education Advisory Council (https://anlar.com/portfolio/vermont-special-education-advisory-council/),Funding,,,,,
277,6,"State Board of Education Appendix F: Snapshots of Each Section 9 Proposal and Sec. 10 Conversation  June 1, 2018",Advisory,,,,,
149,7,"Act 173 Advisory Group-Implementation Adjustment Worksheet. January 3, 2022",Elementary,,,,,
320,2,"State Board of Education News State Board of Education-Ripton Status Report Committee - Final Draft Statement of Preparedness for Ripton School District  August 11, 2022",Census Based,,,,,
333,12,SWIFT proposals/experiment (2-1-2016),Funding,,,,,
71,14,"Act 173 Advisory Group Draft - Special Education Allowable Costs Manual October 7, 2019",Funding,,,,,
252,1,"Opinion Piece in Mountain Times Walter J Mathis (JULY 20, 2017)",Funding,,,,,
251,11,One member selected by the Vermont Association of School Business Officials;,Public Input,,,,,
11,11,Public Assets Institute BLOG:  American Rescue Plan brings $200 million to Vermont towns and villages (10/15/2021),Public Input,,,,,
302,5,"State Board of Education Memo SBE Memo to Legislative Committee on Administrative Rules (LCAR) - Response to Public Comment - March 15, 2022",Research,,,,,
127,12,"Act 173 Advisory Group Meeting: May 1, 2023.  Equalized Pupil Comparison for FY2024 with Act 127 Weights",Funding,,,,,
